Name,Email,Created,Onboarding Percentage,StagesHistory New Date Time,StagesHistory Onboarding Date Time,StagesHistory Launched Date Time,Reference By,Referral Name,Platform,Lead Source,CSM,Status
Apricot Solar,apricotsolar@subcontractorhub.com,25-04-2022 09:15,0,,,,,,Sales Enablement,,,Not Interested
Semper Solaris,shaiban+semper@expansionjs.com,01-06-2022 13:07,0,,,,,Justin Brach,Sales Enablement,Referral,,Follow Up
Barron Contracting,josh@barroncontracting.com,27-07-2022 11:21,0,,,,,,Sales Enablement,,,Dormant
SubcontractorHub Demo,garima+sub@expansionjs.com,28-07-2022 12:26,75,,18-07-2024 16:43,,,,Sales Enablement,,,Demo
SolarQuote,shaiban@solarquote.com,22-09-2022 11:15,100,,,,,,Sales Enablement,,Eric Roberts(eroberts+admin@solarquote.com),Launched
Suntuity,edward.westervelt@suntuity.com,03-11-2022 15:22,0,,,,,,Sales Enablement,,,Retention
eEquals,support@eequals.com,28-12-2022 14:59,0,,,,,,Sales Enablement,,Curtis Hills(curtis@subcontractorhub.com),Retention
live Orgnization,garima+si29@expansionjs.com,20-02-2023 04:00,90,05-10-2023 10:20,05-10-2023 09:59,05-10-2023 11:25,goodleap,test,Sales Enablement,Conference,vimal test(vimal+777@expansionjs.com),Launched
Utah ,vimal+test01@expansionjs.com,07-03-2023 09:42,100,,,,,,Marketplace,,,Approved
Evergreen,bmcintyre@thesunspecialist.com,24-05-2023 16:30,100,,,,,,Marketplace,,,Approved
NovemberTech,novembertech@subhub.com,01-06-2023 13:32,100,,,,goodleap,,Sales Enablement,,Eric Roberts(eroberts+admin@solarquote.com),Launched
Bullet Solar,prezapour@bulletev.com,29-06-2023 16:09,71.43,,26-07-2024 16:30,,,,Sales Enablement,,Craig Kersey(ckersey@subcontractorhub.com),Cancelled
Solar Scouts Operations LLC,nick@thesolarscouts.com,11-07-2023 16:57,100,,,,,,Marketplace,,,Pending Approval
Sunshine Renewable Solutions,jeff@sunshinerenewable.com,11-07-2023 17:02,100,,,,,,Marketplace,,,Approved
Valor Solar,brooke@valor-solar.com,12-07-2023 00:52,100,,,,,,Marketplace,,,Cancelled
E-volve Energy,jthomas@e-volve.energy,12-07-2023 00:58,100,12-12-2023 06:59,,12-12-2023 08:37,,,Marketplace,,,Launched
Fits Energy,fitsenergy02@gmail.com,12-07-2023 01:03,100,,30-11-2023 10:29,,,,Marketplace,,,Onboarding
Apollo Solar Energy and Investments LLC,roguebrun@gmail.com,12-07-2023 01:10,100,,30-11-2023 10:29,,,,Marketplace,,,Approved
Act Energy Inc.,admin@actenergyinc.com,12-07-2023 01:16,0,,30-11-2023 10:29,,,,Marketplace,,,Onboarding
Building EPS,shawn@buildingeps.com,12-07-2023 01:21,100,,,,,,Marketplace,,,Pending Approval
JHP Electric Inc,jhp@jhpelectric.com,26-07-2023 17:30,100,,,,,,Marketplace,,,Approved
Sun X Solutions,rlopez@sunxsolutions.com,27-07-2023 18:03,100,,,,,,Marketplace,,,Pending Approval
Cilcia LLC Valor Solar,busby17@aol.com,28-07-2023 17:16,100,,30-11-2023 10:30,,,,Marketplace,,,Approved
Patriot Power,mlokey@patriotpowercompany.com,31-07-2023 05:03,100,,,01-12-2023 00:43,,,Sales Enablement,,Eric Roberts(eroberts+admin@solarquote.com),Retention
Sundevil Power,jose@sundevilpower.com,03-08-2023 19:32,100,,,,,,Marketplace,,,Pending Approval
Nexa Solar LLC,isaias.lainez@nexasolar.net,03-08-2023 19:45,100,,,,,,Marketplace,,,Pending Approval
Lux Solaris,bsilva.electrician@gmail.com,03-08-2023 20:10,100,,,,,,Marketplace,,,Pending Approval
410 Energy Solutions,lucky@410energysolutions.com,03-08-2023 20:35,100,,,,,,Marketplace,,,Pending Approval
Seapoint Solar,vince@seaspointsolarenergy.com,03-08-2023 20:52,100,,,,,,Marketplace,,,Pending Approval
BuiltMX,prat@builtmx.com,03-08-2023 20:59,100,,,,,,Marketplace,,,Pending Approval
SunStream Solar LLC,sunstreamsolarllc@gmail.com,03-08-2023 21:28,100,,,,,,Marketplace,,,Pending Approval
Titan Solar LLC,titansolarllc@yahoo.com,03-08-2023 21:34,100,,,,,,Marketplace,,,Pending Approval
TGE Solar,kam.hau@tgesolar.com,04-08-2023 14:26,100,,,,,,Marketplace,,,Pending Approval
C & L Power Solutions LLC ,lyle@clpowersolutions.com,04-08-2023 15:07,100,,,,,,Marketplace,,,Pending Approval
PV-Installs LLC,jeremy@pv-installs.com,04-08-2023 15:22,100,,,,,,Marketplace,,,Pending Approval
Rose-Energy Company,dan.mullaney@rose-energy.com,04-08-2023 15:28,100,,,,,,Marketplace,,,Pending Approval
Renewable Living,clindsay55@gmail.com,04-08-2023 15:49,100,,,,,,Marketplace,,,Pending Approval
Cubix - Your Solar Shop,nate@cubixpower.com,04-08-2023 19:29,100,,,,,,Marketplace,,,Pending Approval
Electrotek Power Systems,admin@electrotekpowersystems.com,04-08-2023 19:46,100,,,,,,Marketplace,,,Pending Approval
Rooftop Power Co,hbond@rooftoppowerco.com,09-08-2023 18:29,100,,,,,,Marketplace,,,Pending Approval
Solar Construction,alvaro@solarconstruction.us,09-08-2023 18:32,100,,,,,,Marketplace,,,Pending Approval
Solar Flair Energy Inc,paulb@solarflair.com,09-08-2023 18:42,100,,,,,,Marketplace,,,Pending Approval
C & F Construction,drewcostroff@gmail.com,09-08-2023 18:48,100,,,,,,Marketplace,,,Pending Approval
Whitman Construction,melissaw@stevewhitman.com,09-08-2023 18:57,100,,,,,,Marketplace,,,Pending Approval
Greenwave Solar,mark.vogel@greenwavecompanies.com,09-08-2023 19:01,100,,,,,,Marketplace,,,Pending Approval
All County Electric LLC,chad.gross@allcountyelectrictx.com,09-08-2023 19:06,100,,,,,,Marketplace,,,Approved
FB Integrated Solutions,ray@fbis360.com,09-08-2023 19:11,100,,,,,,Marketplace,,,Pending Approval
Senga Energy,rjackson@sengaenergy.com,16-08-2023 11:41,0,,,,,,Sales Enablement,,Eric Roberts(eroberts+admin@solarquote.com),Retention
Birdman Contracting LLC,kmanning@solar-asi.com,18-08-2023 15:20,0,,30-11-2023 10:29,,,,Marketplace,,,Onboarding
R.G. Gutter Service Inc.,rgtearoff@gmail.com,05-09-2023 16:08,100,,,,,,Marketplace,,,Pending Approval
CT Construction,chancetrammell0@gmail.com,06-09-2023 17:04,0,,30-11-2023 10:29,,,,Marketplace,,,Onboarding
